Локация,Размещение,Площадь,Торг площадь,Тип ТО,Кол-во стеллажей,Режим работы,Дата открытия,ТО,Статус,Трафик,Конверсия,Количество чеков,Средний чек,Оборачиваемость проды,Оборачиваемость непроды,Оборачиваемость,ПРОМО шт,РЕГ шт,"Доля ПРОМО, %","Доля РЕГ, %",Доля РЕГУЛЯР/ПРОМО,Проды,Скоропорт,Непроды,Прочее/ТМЦ,Выручка б/НДС,"Доля ТО в выручке, %",Проды.1,Скоропорт.1,Непроды.1,Прочее/ТМЦ.1,Себестоимость б/ндс,Проды.2,% списаний,Скоропорт.2,% списаний.1,Непроды.2,% списаний.2,% списаний total,% маржи проды,% маржи непроды,% маржи,Проды маржа,Непроды маржа,Марж прибыль,ФОТ,"Доля ФОТ в выручке, %",Расходы на реализацию без логистики и аренды,Логистика,Аренда,Расходы на реализацию total,Прочие доходы и расходы,Операционные расходы total,Рентабельность 1,Месяц,Проды скоропорт маржа,Операционные расходы,% маржи прочее,Прочее маржа,Unnamed: 27
Жилой дом,2.0,222.0,165.4,тип 1,86,9:00-21:00,2024-08-04 00:00:00,"ФМ_02 г. Иваново, ул.Революционная, 78 В",,-,-,4925,273.47,29.79609818474118,119.4214516094119,74.60877489707654,296.0,14381.158,0.0201673920795838,0.9798326079204162,98% / 2%,216256.16000000067,75671.53000000003,816325.0699999989,12640.369999999997,1120893.1299999997,0.16329903609337776,161053.1800000001,52157.67,482704.810000001,8464.77,704380.4300000011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2696449932515837,0.4086855497406179,0.33916527149610076,55202.98000000056,333620.2599999979,412337.0999999985,241268.69,0.21619382921915561,128978.15000000002,0.0,210568.63,339546.78,0.0,580815.47,-168478.37000000145,Февраль 25,23513.86000000003,,,,
Жилой дом,2.0,222.0,165.4,тип 2,75,10:00-21:00,2024-08-04 00:00:00,"ФМ_03 г. Ковров, ул. Ватутина, д. 59",,-,-,2405,289.59,167.7453533287889,230.4866714945858,199.11601241168734,429.0,7509.0,0.054043839758125475,0.9459561602418746,95% / 5%,144341.78000000052,38086.10999999998,379205.4299999999,10832.52,572465.8400000004,0.0834005645733469,106529.3299999998,32478.26,211306.3400000002,7708.33,358022.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2380134967301355,0.4427655215802152,0.34038950915517535,37812.450000000725,167899.0899999998,211319.39000000048,521002.78,0.9038360366213671,218837.38,0.0,82854.43,301691.81,42513.89,865208.4800000001,-653889.0899999996,Февраль 25,5607.84999999998,,,,
,,,,-,-,-,,"ФМ_04 г. Иваново, ул. Куконковых, д. 141",закрыт,-,-,1769,196.96,216.1473248971928,412.4533923712006,314.3003586341967,228.0,4514.0,0.04808097849008857,0.9519190215099115,95% / 5%,119845.17000000019,27288.0,136475.1400000001,7332.9400000000005,290941.2500000003,0.042386222569499116,88551.81999999999,21811.72,76391.76999999999,6308.55,193063.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2499071419449478,0.4402513893739185,0.34507926565943314,31293.350000000195,60083.37000000008,96853.00000000028,319228.76,1.0935363437220431,158656.03,0.0,141052.28,299708.31,-2884.050000000003,616053.02,-519200.0199999997,Февраль 25,5476.279999999999,,,,
Ком.зданиие/ТЦ,2.0,181.2,146.8,-,-,-,2024-12-28 00:00:00,"ФМ_05 г. Орехово-Зуево, ул. Пролетарская 18а",закрыт,-,-,1385,365.86,126.4319227577883,251.9747480287131,189.2033353932507,409.0,5474.0,0.06952235254122047,0.9304776474587796,93% / 7%,78568.74000000018,72217.20000000003,269075.2200000001,6161.799999999999,426022.96000000025,0.06206580882661641,57895.350000000115,56414.929999999986,159896.82,4119.879999999999,278326.9800000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2419035886237147,0.4057541976552135,0.32382889313946406,20673.390000000065,109178.4000000001,145654.0600000002,400011.72,0.9397294898771545,167108.12999999998,0.0,244462.86000000002,411570.99,0.0,811582.71,-665928.6499999998,Февраль 25,15802.27000000004,,,,
Ком.зданиие,1.0,241.0,186.5,тип 2,76,9:00-21:00,2024-10-30 00:00:00,"ФМ_06 г. Александров, ул.Институтская, д.2",закрыт,-,-,1582,345.05,308.9111366832885,379.1824366946022,344.0467866889453,392.0,6053.0,0.06082234290147401,0.939177657098526,94% / 6%,108479.72000000029,43849.58000000001,297581.09,6862.22,456772.61000000034,0.06654561878424256,82510.33000000019,33678.55,174439.0800000001,7410.139999999999,298038.1000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2372519272392116,0.4138099299253186,0.3255309285822651,25969.3900000001,123142.01,159282.4300000001,458282.55,1.0007263457978115,150045.66999999998,0.0,153329.95,303375.62,33904.27,795562.44,-636280.0099999998,Февраль 25,10171.030000000006,,,,
Жилой дом,1.0,168.0,128.0,тип 3,65,9:00-21:00,2024-11-20 00:00:00,"ФМ_07 г. Ярославль, ул. Угличская,",закрыт,-,-,1454,311.92,182.1619218903072,409.1696675684921,295.66579472939964,436.0,4960.0,0.08080059303187546,0.9191994069681245,92% / 8%,103927.38000000041,58967.06,205193.64,15241.169999999998,383329.2500000004,0.055845910155054225,80966.61999999991,48749.40999999999,119120.3799999999,12824.279999999999,261660.6899999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2036804325549752,0.4194733326042662,0.3115768825796207,22960.760000000504,86073.26000000007,119251.67000000058,368704.26,0.9612945868216143,169918.53999999998,0.0,219564.09000000003,389482.63,0.0,758186.89,-638935.2199999994,Февраль 25,10217.650000000009,,,,
ТЦ,-1.0,274.0,223.5,тип 1,105,9:00-21:00,2025-02-17 00:00:00,"ФМ_08 г .Ярославль ,пр-т Ленинградский,49А",,-,-,2605,263.46,58.50730091537546,178.2163423652785,118.36182164032698,454.0,8200.005000000001,0.05246125926666323,0.9475387407333368,95% / 5%,137701.6300000004,45040.68000000001,391674.4699999999,5811.5,580228.2800000003,0.08453144755924998,98929.3200000001,30437.64,234026.6700000001,3930.84,367324.4700000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2920798691884774,0.4024970021661095,0.34728843567729345,38772.31000000032,157647.7999999997,211023.15000000002,285117.72,0.4920815944496231,119020.59000000003,0.0,149734.2,268754.79000000004,0.0,553872.51,-342849.36,Февраль 25,14603.040000000008,,,,
Ком.зданиие/ТЦ,2.0,320.0,261.6,тип 1,105,9:00-21:00,2024-12-28 00:00:00,"ФМ_09 г.Владимир,ул.Славная,1а",,-,-,3274,290.24,103.3591322708681,214.0586032526992,158.70886776178367,363.0,10266.189000000002,0.03415124145407518,0.9658487585459248,97% / 3%,187475.5300000009,87189.65000000002,507528.8399999999,15523.179999999998,797717.2000000009,0.11621665469134282,136303.94,66697.07999999997,301507.1600000001,7723.16,512231.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2609146161155215,0.4059309811832561,0.33342279864938884,51171.5900000009,206021.6799999998,277685.8400000007,360320.78,0.4511471611258231,210335.13999999996,2500.0,234797.93,447633.06999999995,0.0,807953.85,-530268.0099999993,Февраль 25,20492.57000000005,,,,
Жилой дом,1.0,228.0,187.5,тип 2,76,9:00-21:00,2025-01-29 00:00:00,"ФМ_10 г.Рязань,проспект Славянский, д.3 пом Н18",закрыт,-,-,2202,292.42,72.40149705319119,247.6674501047849,160.03447357898804,489.0,7191.057000000001,0.06367140243881002,0.93632859756119,94% / 6%,115343.44000000038,83748.01000000001,335657.7300000002,8697.73,543446.9100000006,0.07917289721538819,84387.5000000002,61085.57,198786.48,5582.659999999999,349842.2100000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2693153322254677,0.4077702902894567,0.3385428112574622,30955.940000000177,136871.2500000002,190489.63000000038,261973.28,0.4837605337597361,125208.09000000003,0.0,265466.58,390674.67000000004,0.0,652647.9500000001,-462158.3199999997,Февраль 25,22662.44000000001,,,,
Ком.здание,2.0,200.0,164.0,тип 1,86,10:00-20:00,2024-12-28 00:00:00,"ФМ_11 г.Рязань,ул.Татарская,95",перенос,-,-,2339,297.4,101.5904355538879,215.3658026525783,158.4781191032331,671.0,8004.5,0.077344245288456,0.922655754711544,92% / 8%,144551.9450000005,58435.57000000002,402724.5699999998,4556.090000000001,610268.1750000003,0.08890785577030422,87009.58000000002,46393.369999999995,244725.23,2888.8199999999997,381017.00000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2323004127358686,0.3923260505312597,0.31231323163356417,57542.365000000485,157999.3399999998,227583.90500000032,347311.89999999997,0.598213313629428,100137.34,0.0,168371.09,268508.43,0.0,615820.33,-388236.42499999964,Февраль 25,12042.200000000026,,,,
